pid,tid,home_size,parcel_size,beds,age,pool,price,year,cbd_dist,x_coord,y_coord
319,1439,1742,6529,3,7,0,110.144,2000,12046.56,568304.5,1510050
320,3177,1386,6234,3,24,0,181.302,2004,3981.02,533840.1,1544125
323,3967,1314,7131,3,7,0,105.442,2000,9178.05,561575.9,1517229
325,5330,1861,10586,4,0,0,170.124,2003,20028.91,530392.3,1465514
326,9897,2792,10846,3,9,1,223.323,2001,19842.18,523533.6,1466965
327,1999,1200,7366,3,16,0,83.946,2001,19641.68,597906.1,1544428
328,4711,2292,55308,4,14,1,478.467,2002,17453.87,479146.1,1517684
330,232,1267,8083,3,27,0,69.042,2001,25353.75,474982.8,1588903
331,3129,2376,7501,5,18,0,120.361,2000,10107.93,503112.1,1540796
334,7455,1782,10732,3,9,0,113.485,2003,12687.26,494650,1542000
335,1901,1644,9243,4,42,1,114.921,2003,9013.39,508325.1,1544221
336,2320,1468,7644,3,5,1,137.712,2002,18099.68,502965.5,1581226
337,6600,1453,2875,3,0,0,138.735,2003,23646.25,611925.9,1522159
340,1685,1610,8700,3,18,0,173.765,2002,14103.45,498460.5,1502475
341,3745,1240,8658,3,18,0,123.067,2003,13241.1,572226.4,1508951
342,9277,1152,12392,3,44,0,107.841,2003,10219.31,559485.5,1553842
344,6856,2142,7992,4,2,0,268.504,2004,20744.37,510355.2,1467569
348,2395,1623,12001,3,5,0,117.352,2000,12925.07,493984.6,1542523
349,1330,1874,5624,3,0,0,118.775,2001,16878.16,541666,1476127
353,6747,2130,5623,4,10,1,253.97,2005,18373.35,595124.3,1529864
354,8699,1065,6800,2,45,0,132.899,2000,3377.29,530092.3,1541115
355,3309,2738,15428,5,15,1,250.612,2003,12804.04,501666.7,1505272
356,743,3495,10910,4,37,1,315.565,2001,7350.61,553238.8,1546696
360,1965,1176,8250,4,20,0,75.165,2000,14333.47,579651.6,1545399
361,7456,1246,3240,3,0,0,94.784,2000,20707.8,535682.9,1463141
367,3183,2014,12619,4,19,1,149.529,2001,12535.75,571185.1,1550370
368,5781,3572,28905,4,0,1,336.061,2001,18223.28,475511.7,1524004
369,8099,1976,34382,4,5,0,180.202,2002,27111.44,490496.5,1608241
371,1683,3906,27284,4,0,1,356.268,2003,26454.54,487475.4,1603864
373,7888,1025,5983,3,22,0,80.068,2003,12497.92,507414.6,1561602
375,9823,1116,10429,2,27,0,75.342,2002,19692.18,489167.7,1576828
376,124,960,269496,1,36,0,190.09,2003,24917.13,453935.8,1519158
378,3832,3688,9019,5,0,0,242.835,2002,22589.15,461397.1,1520954
